id,store,sales,location,min_weekly_visits,max_weekly_visits,mandatory_monday_visit,min_visit_duration,max_visit_duration,min_service_duration,max_service_duration,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
s_id_24,"Del Sol, Adana Lincoln","$2,401,247","25.7264944,-100.3673551",1,2,0,180,180,180,180,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_25,"Del Sol, Arcadia","$1,911,441","25.6594432,-100.2276571",1,2,0,180,180,180,180,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_30,"Del Sol, Girasoles Escobedo","$2,411,339","25.791048,-100.3245541",1,2,0,180,180,180,180,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_32,"Del Sol, San Nicolás Citadel","$2,283,147","25.7261204,-100.2146227",1,2,0,180,180,180,180,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_37,"Del Sol, Sendero Santa Catarina","$2,014,237","25.6876588,-100.4908161",1,2,0,180,180,180,180,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_26,"Del Sol, Ciénega Plazoleta","$1,122,196","25.9073177,-100.1690689",0,2,0,120,180,0,360,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_27,"Del Sol, El Carmen","$2,262,968","25.8489356,-100.3744805",0,2,1,120,180,0,360,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_28,"Del Sol, Garcia","$2,939,167","25.7907972,-100.5812671",0,2,0,120,180,0,360,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_29,"Del Sol, Garza Sada","$1,547,895","25.642409,-100.2852871",0,2,0,120,180,0,360,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_38,"Del Sol, Solidaridad Mty.","$3,188,532","25.7772371,-100.3884342",1,2,0,180,180,180,180,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
